region,Date,Ménages exploitant moins de 3 parcelles (%),Ménages exploitant 3 à 5 parcelles (%),Ménages exploitant plus de 6 parcelles (%),Nombre moyen de parcelles par ménage,Superficie moyenne des parcelles par ménage (Ha),Taille moyenne des ménages,Effectif de la population,Population rurale,Population urbaine,Taux d'urbanisation
Dakar,2017,96.79999947547908,40.36023942037271,9.93310787404577,1.2079999446868899,0.462637493945312,4.90399980545044,3529300.0,127054.0,3402246.0,96.40002266738449
Dakar,2018,100.0,0.0,0.0,1.04197001457214,0.46536890887665294,5.3631691932678205,3630324.0,130693.0,3499631.0,96.39996319887699
Diourbel,2017,12.5406205654144,64.68076109886171,22.77861982584,4.33756303787231,3.07892968524186,9.51945114135742,1692967.0,1418707.0,274260.0,16.1999613695955
Diourbel,2018,25.740259885788003,57.751202583312995,16.5085390210152,3.8160276412963903,4.64584687991099,10.4074182510376,1746496.0,1463564.0,282932.0,16.1999798453589
Fatick,2017,37.2488141059875,52.979087829589794,9.772101789712911,3.29594588279724,2.88425661970721,7.97418308258057,813542.0,676053.0,137489.0,16.9000494135521
Fatick,2018,58.975982666015604,38.9612227678299,9.772101789712911,2.54586815834045,3.3624136021032704,9.03389358520508,841294.0,697433.0,143861.0,17.099967431124
Kaffrine,2017,17.557056248188,57.5173676013947,24.9255791306496,4.462725162506099,4.857854200902151,9.037599563598631,655121.0,541130.0,113991.0,17.3999917572479
Kaffrine,2018,18.7349542975426,56.5515995025635,24.7134432196617,4.49259042739868,8.034989441149499,10.929967880249,678955.0,558101.0,120854.0,17.800001472851697
Kaolack,2017,18.671034276485397,59.756666421890294,21.572297811508196,4.23163318634033,4.468933705825339,9.96915912628174,1086464.0,683386.0,403078.0,37.09998674599429
Kaolack,2018,41.2068903446198,47.516119480133106,11.2769916653633,3.30938172340393,4.65060905342218,11.362456321716301,1120404.0,700253.0,420151.0,37.4999553732404
Kedougou,2017,59.8720371723175,37.8605902194977,9.93310787404577,2.56145477294922,1.53215795613583,5.710913181304929,172482.0,126257.0,46225.0,26.7998979603669
Kedougou,2018,89.9939358234406,9.80392172932625,9.93310787404577,1.6702041625976598,1.01825379234539,7.3945827484130895,178269.0,130136.0,48133.0,27.0002075515092
Kolda,2017,22.019462287426,65.1156306266785,12.8649055957794,3.7168710231781,3.2596605893036097,12.267225265502901,748451.0,539633.0,208818.0,27.9000228471871
Kolda,2018,30.907922983169602,59.9505960941315,9.1414786875248,3.24114060401917,4.01561315305534,11.8517723083496,772073.0,552805.0,219268.0,28.3999051903123
Louga,2017,45.331436395645106,43.7884569168091,10.880104452371599,3.0935111045837402,3.6700582385308795,8.82107257843018,976885.0,751225.0,225660.0,23.0999554707054
Louga,2018,62.4795496463776,31.1705589294434,6.34989142417908,2.6011362075805695,4.05172464986195,8.92558860778809,1004401.0,769371.0,235030.0,23.4000165272635
Matam,2017,89.21070694923401,8.71443077921867,9.93310787404577,1.54111623764038,1.1281051206663402,7.99059820175171,654981.0,489926.0,165055.0,25.199967632648896
Matam,2018,96.9074010848999,3.09260189533234,0.0,1.2027078866958603,0.907923739870119,11.6461572647095,680086.0,503944.0,176142.0,25.899959710977697
Saint-Louis,2017,94.33509707450871,5.66490106284618,0.0,1.26930582523346,0.7691033574090109,8.71035099029541,1009170.0,523759.0,485411.0,48.100022791006495
Saint-Louis,2018,97.8541672229767,40.36023942037271,0.0,1.1827486753463703,1.0224364933735501,9.85123920440674,1036009.0,531473.0,504536.0,48.6999630312092
Sedhiou,2017,21.968725323677102,67.1152710914612,10.9160043299198,3.6529521942138703,1.69390657155003,9.97782611846924,517016.0,403790.0,113226.0,21.899902517523604
Sedhiou,2018,34.5737338066101,49.1797506809235,16.2465155124664,3.5164196491241495,2.33815463341563,12.344739913940401,534655.0,414893.0,119762.0,22.399865333719898
Tambacounda,2017,46.9441950321198,47.8528618812561,5.20294494926929,2.8569395542144798,2.88923194699131,7.8830099105835,783777.0,587833.0,195944.0,24.999968103172197
Tambacounda,2018,58.7414503097534,35.479265451431296,5.779282003641129,2.56894850730896,3.3169972708632405,9.43135070800781,812075.0,606620.0,205455.0,25.300003078533397
Thies,2017,55.8012902736664,40.6738996505737,3.52480933070183,2.5083155632019,1.78684457732016,9.06070232391357,1995037.0,973578.0,1021459.0,51.2000028069655
Thies,2018,52.9897332191467,42.1179801225662,4.89228926599026,2.69933867454529,2.86536090389825,11.5222158432007,2049764.0,990036.0,1059728.0,51.70000058543321
Ziguinchor,2017,56.6594421863556,38.4107828140259,4.9297764897346505,2.6313507556915297,0.977119356684936,9.65527629852294,621168.0,324250.0,296918.0,47.79995105993871
Ziguinchor,2018,65.9923851490021,27.6606976985931,6.34691268205643,2.3192486763000497,1.02919436217593,9.03108215332031,641254.0,332170.0,309084.0,48.199933255777
