Zone Perdue,risque_déforestation
0.0,1
0.07447080688476562,1
0.0,1
0.0744604736328125,1
0.0,1
0.0,1
0.07447554931640625,1
0.14894259643554686,1
0.0,1
0.0,1
3.5733254699707033,1
7.295835028076173,1
6.626440618896485,1
6.776076184082031,1
8.486653686523443,1
15.561970806884764,1
0.7440928100585937,0
0.3721973327636719,0
0.0,0
0.0745184326171875,0
0.0,0
0.5952291015625,0
0.5214674499511719,0
0.14905218505859374,0
0.5209385803222656,0
0.0,0
0.14897252197265626,0
0.22353839111328125,0
0.2979869079589844,0
0.0,0
0.0,0
0.0,0
18.735582104516133,0
63.359497296190476,0
29.814552911376953,0
24.174000196413534,0
10.440166922415939,0
25.85764913942823,0
71.38157358072922,0
114.56663131103504,0
17.978551907911115,0
13.312160943603516,0
23.4871720336914,0
62.775850738597185,0
46.433193365502554,0
11.292042523193356,0
11.144487145996095,0
11.816964221191403,0
0.14953840942382812,0
1.1206782348632813,0
0.4480682739257813,0
22.169591668701177,0
1.8658888732910155,0
0.5973740234375,0
0.0,0
0.0,0
0.0,0
4.03542113647461,0
62.86628368953938,0
1.1957304382324219,0
3.257975092534084,0
0.8977221008300781,0
2.541991394042969,0
6.705023609260108,0
4.7081005554199225,0
6.58234263305664,0
3.142192553710937,0
20.34269414672854,0
18.327228924560544,0
6.732812719726563,0
0.4486161865234375,0
0.07477611083984376,0
0.0,0
163.6254315909593,1
402.7253219940544,1
244.4448328803806,1
926.3293489030424,1
1065.0223622723272,1
539.2423450660857,1
858.9223956570736,1
914.1455190907677,1
621.339393050274,1
1363.6360786651253,1
6708.690271265011,1
1025.090478979611,1
795.8140080271278,1
12172.031824422935,1
2723.797541189394,1
6579.936520091598,1
276.58110027633387,1
3831.8708298689526,1
2053.1394413252256,1
3762.7118634484955,1
1018.178547317804,1
485.98616537324796,1
633.7212176182402,1
777.9380338809034,1
392.2121328492168,1
3.7830572753906244,0
2.8977413452148433,0
0.0743853515625,0
0.22305435180664063,0
1.038251055908203,0
3.0430559265136723,0
0.29619514160156246,0
0.14834918823242188,0
0.07432490234375,0
0.0,0
2.150443225097656,0
1.9276293518066407,0
0.1481176025390625,0
0.0,0
0.5193058898925781,0
0.0,0
0.594959619140625,0
0.0,0
0.0,0
0.0,0
0.148927197265625,0
0.07452205810546875,0
0.0,0
0.0,0
0.0,0
2.8218239562988283,0
0.9669041809082031,0
0.0,0
0.0,0
0.0,0
0.0,0
23.566227624511725,0
2.439450360107422,0
0.9519317698759191,0
1.5513761108398436,0
0.8129350891113281,0
1.2568655395507813,0
0.0738189697265625,0
1.181627478027344,0
0.14764915771484374,0
0.9599528381347655,0
66.73092523193358,0
100.86977230990537,0
0.0,0
0.0,0
9.677452490234376,0
11.297380389404294,0
196.01558033231854,1
3159.3229203957612,1
3238.7169972009688,1
5942.886238866564,1
2101.9971947693625,1
672.300049418132,1
828.368473271819,1
2243.437945935564,1
1253.3722567749242,1
1568.3018579327988,0
6779.4084712386875,0
1736.9168932575753,0
140.84006198335535,0
3667.2981025656222,0
1787.632439471531,0
4866.183763649709,0
133.15613752936866,0
250.40275371924287,0
98.3289769488166,0
491.02098410584716,0
249.4555337762571,0
314.217972663957,0
57.0200884962134,0
114.1620556603283,0
101.16034114638367,0
0.22307636718749999,0
1.4904727600097656,0
6.112941442871095,0
9.612151361083985,0
3.1995235229492187,0
0.5213906127929687,0
2.384978308105469,0
1.2661889831542967,0
1.9392251892089845,0
0.44612431640624994,0
9.671160510253905,0
8.856858410644532,0
10.86659713745117,0
3.4986026672363275,0
10.190907812499999,0
7.30040765380859,0
137.86945860954725,1
543.8673049800377,1
99.05813181762694,1
465.81332384097834,1
174.3983537105066,1
152.54992835944694,1
548.9728606589645,1
733.1099102391144,1
679.7783472166296,1
570.4027091909602,1
3528.7027285124195,1
2988.994897231379,1
1926.6895173623925,1
1988.3189450939012,1
3788.3891895950856,1
1706.2673352737456,1
