region,Date,Effectif de la population,Population rurale,Population urbaine,Taux d'urbanisation,Nombre de ménages ruraux,Nombre de ménages urbains,Taille moyenne des ménages,Taille moyenne des ménages ruraux,Taille moyenne des ménages urbains,Superficie Perdue,risque déforestation
Dakar,1970,724461.6921597,27614.7378256,696846.9543341,96.1882404,2785.3481957,97871.7632492,7.55,9.9142857,7.12,4.43512979850769,1
Dakar,1971,759203.2526073002,28805.871927,730397.3806802,96.205776,2928.7015757,101632.2885919,7.52,9.8357143,7.1866667,4.43512979850769,1
Dakar,1972,795610.844586,30048.384406700014,765562.4601793,96.2232309,3079.6294414,105546.2950615,7.48,9.7571429,7.253333299999999,4.43512979850769,1
Dakar,1973,833764.3626382,31344.491419700003,802419.8712184,96.2406055,3238.5452389,109620.2009861,7.45,9.6785714,7.32,4.43512979850769,1
Dakar,1974,873747.5326485,32696.5047126,841051.0279358,96.2579002,3405.8859076,114397.5826899,7.42,9.6,7.352,4.43512979850769,1
Dakar,1975,915648.0955766,34106.835746900004,881541.2598296999,96.2751153,3582.1132817,119385.32771260002,7.44,9.5214286,7.383999999999999,4.43512979850769,1
Dakar,1976,959558.0,35578.0,923980.0,96.2922512,3767.7155825,124592.772384,7.46,9.4428571,7.416,4.43512979850769,1
Dakar,1977,995975.145216,36776.72353600001,959198.42168,96.3074657,3927.3388978,128786.0394307,7.49,9.364285699999998,7.447999999999999,4.43512979850769,1
Dakar,1978,1033774.3939272,38015.1652065,995759.2287208,96.3226826,4093.9408684,133122.89154019998,7.51,9.2857143,7.48,4.43512979850769,1
Dakar,1979,1073008.1997254998,39294.6122429,1033713.5874827,96.337902,4267.8399643,137608.305043,7.54,9.2071429,7.512,4.43512979850769,1
Dakar,1980,1113731.0069216,40616.3923384,1073114.6145831998,96.3531237,4449.370052699999,142247.430353,7.56,9.1285714,7.544,4.43512979850769,1
Dakar,1981,1155999.3260962,41981.8748636,1114017.4512326,96.3683478,4638.881200399999,147045.5981036,7.58,9.05,7.576,4.43512979850769,1
Dakar,1982,1199871.8125202,43392.4721164,1156479.3404038,96.3835743,4836.7405225,152008.3255,7.59,8.9714286,7.608,4.43512979850769,1
Dakar,1983,1245409.347549,44849.6406064,1200559.7069426,96.3988033,5043.3330802,157141.3228982,7.61,8.8928571,7.64,4.43512979850769,1
Dakar,1984,1292675.1231071998,46354.8823747,1246320.2407325,96.4140346,5259.062830200001,162450.5006168,7.62,8.8142857,7.6720000000000015,4.43512979850769,1
Dakar,1985,1341734.7293794,47909.7463511,1293824.9830282,96.4292684,5484.3536297,167941.9759902,7.64,8.735714300000001,7.704,4.43512979850769,1
