Date,Zone Perdue,risque_déforestation
2001,3.711570925903321,1
2002,0.07447080688476562,1
2003,3.711570925903321,1
2004,0.0744604736328125,1
2005,3.711570925903321,1
2006,3.711570925903321,1
2007,0.07447554931640625,1
2008,0.14894259643554686,1
2009,3.711570925903321,1
2010,3.711570925903321,1
2011,3.711570925903321,1
2012,1.3400869812011718,1
2013,3.5733254699707033,1
2014,7.295835028076173,1
2015,6.626440618896485,1
2016,6.776076184082031,1
2017,8.486653686523443,1
2018,15.561970806884764,1
2019,16.603957116699227,1
2020,7.594723199462892,1
2001,0.7440928100585937,0
2002,0.3721973327636719,0
2003,0.18612117401123046,0
2004,0.0745184326171875,0
2005,0.18612117401123046,0
2006,0.5952291015625,0
2007,0.5214674499511719,0
2008,0.14905218505859374,0
2009,0.5209385803222656,0
2010,0.18612117401123046,0
2011,0.07442976684570313,0
2012,0.18612117401123046,0
2013,0.14897252197265626,0
2014,0.22353839111328125,0
2015,0.2979869079589844,0
2016,0.18612117401123046,0
2017,0.18612117401123046,0
2018,0.18612117401123046,0
2019,0.18612117401123046,0
2020,0.18612117401123046,0
2001,18.735582104516133,0
2002,63.359497296190476,0
2003,29.814552911376953,0
2004,24.174000196413534,0
2005,10.440166922415939,0
2006,25.85764913942823,0
2007,71.38157358072922,0
2008,114.56663131103504,0
2009,17.978551907911115,0
2010,13.312160943603516,0
2011,22.202880786132816,0
2012,11.86502204565908,0
2013,23.4871720336914,0
2014,62.775850738597185,0
2015,46.433193365502554,0
2016,11.292042523193356,0
2017,11.144487145996095,0
2018,11.816964221191403,0
2019,16.604970367431644,0
2020,19.069238293457026,0
2001,0.0746206298828125,0
2002,3.4360068481445314,0
2003,1.739515536193848,0
2004,0.29909056396484374,0
2005,0.29883232421875,0
2006,1.739515536193848,0
2007,2.089729425048828,0
2008,0.14953840942382812,0
2009,1.1206782348632813,0
2010,0.4480682739257813,0
2011,2.0169688049316403,0
2012,0.22392264404296877,0
2013,22.169591668701177,0
2014,1.8658888732910155,0
2015,0.5973740234375,0
2016,1.739515536193848,0
2017,1.739515536193848,0
2018,1.739515536193848,0
2019,1.739515536193848,0
2020,1.739515536193848,0
2001,4.03542113647461,0
2002,62.86628368953938,0
2003,1.1957304382324219,0
2004,3.257975092534084,0
2005,0.8977221008300781,0
2006,2.541991394042969,0
2007,6.705023609260108,0
2008,4.7081005554199225,0
2009,6.58234263305664,0
2010,3.142192553710937,0
2011,3.9632760437011716,0
2012,10.350082585712508,0
2013,20.34269414672854,0
2014,18.327228924560544,0
2015,6.732812719726563,0
2016,0.4486161865234375,0
2017,0.07477611083984376,0
2018,7.857227347668221,0
2019,0.897449304199219,0
2020,0.07482772827148437,0
2001,295.7666737355191,1
2002,407.61661428892813,1
2003,90.96769576846849,1
2004,44.75219278270048,1
2005,224.55274173105295,1
2006,180.06817180783736,1
2007,833.6211532631545,1
2008,163.6254315909593,1
2009,402.7253219940544,1
2010,244.4448328803806,1
2011,205.7061794089403,1
2012,195.72736817435467,1
2013,926.3293489030424,1
2014,1065.0223622723272,1
2015,539.2423450660857,1
2016,858.9223956570736,1
2017,914.1455190907677,1
2018,621.339393050274,1
2019,707.8603525421505,1
2020,477.37675669459844,1
2001,1363.6360786651253,1
2002,6708.690271265011,1
2003,1025.090478979611,1
2004,795.8140080271278,1
2005,12172.031824422935,1
2006,2723.797541189394,1
2007,6579.936520091598,1
2008,276.58110027633387,1
2009,3831.8708298689526,1
2010,2053.1394413252256,1
2011,404.6474746647132,1
2012,2092.127796910136,1
2013,3762.7118634484955,1
2014,1018.178547317804,1
2015,485.98616537324796,1
2016,633.7212176182402,1
2017,777.9380338809034,1
2018,392.2121328492168,1
2019,755.4873927443804,1
2020,303.61518674357086,1
2001,3.7830572753906244,0
2002,2.8977413452148433,0
2003,0.0743853515625,0
2004,0.22305435180664063,0
2005,1.038251055908203,0
2006,3.0430559265136723,0
2007,0.29619514160156246,0
2008,0.14834918823242188,0
2009,0.07432490234375,0
2010,1.0870421627807618,0
2011,4.527402075195313,0
2012,0.6674038208007813,0
2013,2.150443225097656,0
2014,1.9276293518066407,0
2015,0.1481176025390625,0
2016,1.0870421627807618,0
2017,0.5193058898925781,0
2018,1.0870421627807618,0
2019,0.22212675170898438,0
2020,1.0870421627807618,0
2001,0.07424700927734375,0
2002,0.594959619140625,0
