Region,Date,Taux d'urbainisation,Superficie agricole,Superficie perdue,Risque déforestation
Dakar,2001,96.6289852,1765.5,3.7115709259033216,1
Dakar,2002,96.6927999,905.1333333333333,0.07447080688476562,1
Dakar,2003,96.5933185,1179.1333333333332,3.7115709259033216,1
Dakar,2004,96.6930352,1157.0,0.0744604736328125,1
Dakar,2005,96.6931359,3220.0,3.7115709259033216,1
Dakar,2006,96.6932729,1987.0,3.7115709259033216,1
Dakar,2007,96.7073393,1721.1333333333332,0.07447554931640625,1
Dakar,2008,97.2171306,1671.0,0.14894259643554686,1
Dakar,2009,97.2171407,2638.5,3.7115709259033216,1
Dakar,2010,97.22,3847.5,3.7115709259033216,1
Dakar,2011,96.67636067436779,6146.5,3.7115709259033216,1
Dakar,2012,96.67636067436779,5477.5,1.3400869812011718,1
Dakar,2013,96.4656336422716,6018.5,3.5733254699707038,1
Dakar,2014,96.39998639228571,5644.5,7.295835028076173,1
Dakar,2015,96.3999973579064,3739.5,6.626440618896486,1
Dakar,2016,96.40000933115999,4670.5,6.776076184082031,1
Dakar,2017,96.40002266738449,4885.5,8.486653686523443,1
Dakar,2018,96.39996319887699,1736.6333333333332,15.561970806884766,1
Dakar,2019,96.67636067436779,1945.6333333333328,16.603957116699227,1
Dakar,2020,96.67636067436779,1784.0,7.594723199462893,1
Diourbel,2001,22.0177913,209778.5,0.7440928100585937,0
Diourbel,2002,16.0347977,190832.5,0.3721973327636719,0
Diourbel,2003,15.8,164652.5,0.18612117401123046,0
Diourbel,2004,15.6293351,164552.5,0.0745184326171875,0
Diourbel,2005,15.4004539,164144.5,0.18612117401123046,0
Diourbel,2006,15.2121,155376.5,0.5952291015625,0
Diourbel,2007,15.1244293,166312.5,0.5214674499511719,0
Diourbel,2008,15.4575855,184438.5,0.14905218505859374,0
Diourbel,2009,15.4571928,357815.5,0.5209385803222656,0
Diourbel,2010,15.46,244017.5,0.18612117401123046,0
Diourbel,2011,16.150757247693225,208470.5,0.07442976684570313,0
Diourbel,2012,16.150757247693225,222453.5,0.18612117401123046,0
Diourbel,2013,16.0185114076884,213340.5,0.14897252197265626,0
Diourbel,2014,16.0999891814644,204308.5,0.22353839111328125,0
Diourbel,2015,16.0999702813471,254694.5,0.2979869079589844,0
Diourbel,2016,16.2000182776373,273193.5,0.18612117401123046,0
Diourbel,2017,16.1999613695955,193639.0,0.18612117401123046,0
Diourbel,2018,16.1999798453589,231289.5,0.18612117401123046,0
Diourbel,2019,16.150757247693225,222018.5,0.18612117401123046,0
Diourbel,2020,16.150757247693225,268421.0,0.18612117401123046,0
Fatick,2001,12.7977154,257065.86666666673,18.735582104516133,0
Fatick,2002,12.6091354,284230.8666666667,63.35949729619048,0
Fatick,2003,12.7,241291.86666666673,29.814552911376953,0
Fatick,2004,12.6120232,204817.86666666667,24.17400019641353,0
Fatick,2005,12.5986992,237277.86666666673,10.440166922415939,0
Fatick,2006,12.5954446,233475.86666666673,25.85764913942823,0
Fatick,2007,12.754554,214193.0,71.38157358072922,0
Fatick,2008,13.1368204,240672.0,114.56663131103504,0
Fatick,2009,13.136557,334051.0,17.97855190791111,0
Fatick,2010,13.14,368679.0,13.312160943603516,0
Fatick,2011,14.19044735256929,313788.0,22.202880786132816,0
Fatick,2012,14.19044735256929,283231.0,11.86502204565908,0
Fatick,2013,15.466158635594999,366429.0,23.487172033691397,0
Fatick,2014,16.2999483380724,281461.0,62.775850738597185,0
Fatick,2015,16.4999803074661,390272.0,46.43319336550256,0
Fatick,2016,16.700104315299,407404.0,11.292042523193354,0
Fatick,2017,16.9000494135521,407456.0,11.144487145996097,0
Fatick,2018,17.099967431124,406193.0,11.816964221191403,0
Fatick,2019,14.19044735256929,463043.0,16.604970367431644,0
Fatick,2020,14.19044735256929,485448.0,19.069238293457023,0
Kaffrine,2001,15.10661680891902,277708.0,0.0746206298828125,0
Kaffrine,2002,15.10661680891902,316389.0,3.4360068481445314,0
Kaffrine,2003,15.10661680891902,318756.7263157895,1.7395155361938484,0
Kaffrine,2004,15.10661680891902,311212.17647058825,0.2990905639648437,0
Kaffrine,2005,15.10661680891902,326968.0,0.29883232421875,0
Kaffrine,2006,15.10661680891902,260435.0,1.7395155361938484,0
Kaffrine,2007,15.10661680891902,233405.0,2.0897294250488283,0
Kaffrine,2008,11.9369275,345956.0,0.14953840942382812,0
Kaffrine,2009,11.936575,436664.0,1.120678234863281,0
Kaffrine,2010,11.94,515301.0,0.4480682739257813,0
Kaffrine,2011,15.10661680891902,327286.0,2.0169688049316403,0
Kaffrine,2012,15.10661680891902,313074.5263157895,0.2239226440429688,0
Kaffrine,2013,15.146069080339801,327977.0,22.169591668701177,0
Kaffrine,2014,16.1999571389209,319194.17647058825,1.8658888732910155,0
Kaffrine,2015,16.600015090922803,422097.0,0.5973740234375,0
Kaffrine,2016,17.0000142399881,453855.0,1.7395155361938484,0
Kaffrine,2017,17.3999917572479,423952.0,1.7395155361938484,0
Kaffrine,2018,17.800001472851697,462153.0,1.7395155361938484,0
Kaffrine,2019,15.10661680891902,473294.1764705882,1.7395155361938484,0
Kaffrine,2020,15.10661680891902,543523.0,1.7395155361938484,0
Kaolack,2001,25.592574600000006,232600.0,4.03542113647461,0
Kaolack,2002,23.4800141,247766.0,62.86628368953939,0
Kaolack,2003,23.5,210038.0,1.195730438232422,0
Kaolack,2004,23.3563554,241609.44444444447,3.2579750925340836,0
Kaolack,2005,23.3026723,246297.44444444447,0.8977221008300781,0
Kaolack,2006,23.2486454,225303.6842105263,2.5419913940429693,0
